source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,radial_velocity,ra_1702,dec_1702,drift_arcsec
6769308026926349056,289.1485570198848,-25.64636674834221,36.166273973157395,51.05225953104247,-312.1006103273405,12.448667,-18.308962,289.143962316527,-25.61827769341275,102.46451933650923
6766515091297060864,291.73533705380424,-25.41739396994469,24.591744283865943,-55.47537727912623,4.8614506751854805,14.610334,14.923848999999999,291.74032983775936,-25.417831500505457,18.042905724938613
6759535739380845696,290.55047951917123,-28.65633721291939,23.52633635198297,6.9080726374602985,-72.52791900245114,13.620560000000001,46.90806,290.5498577926339,-28.64980970020917,23.605396846038182
6765558967156008832,291.1042091416378,-28.273404403312988,22.465687309386148,-174.15087779848471,-150.46496066963135,14.915366,90.32137,291.1198827206397,-28.25986255685272,74.56804401540296
6766101335626566272,292.3393808254595,-27.109373226762408,22.310625454115076,1.8740975520931544,-286.86196703260015,13.202398,-56.460342000000004,292.3392121566798,-27.083555649729472,92.94526077102078
6759846420135918336,289.4696669423743,-27.979019737773413,21.207094650409843,61.09798945315366,-75.54135823046788,10.504075,-24.920208,289.46416812332353,-27.97222101553267,31.47883209996709
6765805910597118080,291.8624299811014,-26.871443777079925,21.170435044729548,54.379772676280616,-60.47904443523417,14.921145000000001,,291.8575358015605,-26.866000663080754,26.351528697309057
6759846420130715648,289.46877432733,-27.978075253578364,21.165492538515803,54.76857744817696,-85.00991046425433,15.623366,,289.46384515535965,-27.97042436163658,32.76452615682194
6758763740478318080,290.97027746243754,-28.925621944223426,20.520865838160212,102.03794541418242,7.166075380991027,11.959132,4.289958,290.9610940473503,-28.926266891007714,33.14172377074498
6765627235662304000,290.5846011399726,-27.9163035978918,20.40543173067604,-37.259526910526674,-0.9912459667306832,11.424439,11.004351,290.58795449739455,-27.916214385754795,12.076358054858938
6765719873811443456,292.408260032877,-27.305295483380227,18.99891305810141,-10.338861025967919,-63.684326661843926,14.071337,-59.9751,292.40919053036936,-27.29956389398066,20.903865108273003
6769161791878936704,290.3359193856772,-25.779479167530607,18.075615088195367,-199.29055032073958,-160.6718713278292,17.721633999999998,,290.35385553520604,-25.765018699111103,82.94157862351203
6763156018855811968,288.484745052701,-26.876660545475165,17.093001547102368,-13.309938849442744,-90.99751041619291,7.0089145,-20.956476000000002,288.48594294719743,-26.86847076953771,29.79690687722017
6768984323835699456,289.3742578810264,-26.765936548666268,17.01491167684209,-86.6724849090275,-87.0738789961573,16.41753,,289.3820584046682,-26.758099899556615,39.805849432865635
6768985934441524864,289.26677056120707,-26.772876116665334,15.718109137843218,27.4458929629778,-44.69263223067489,12.256639999999999,-48.163925,289.2643004308404,-26.768853779764573,16.99289165219909
6759817386156701568,289.94557947571167,-28.00886830608945,15.718106320746227,81.77179085868602,-29.798436356737035,13.107814000000001,-15.089718,289.9382200145344,-28.006186446817345,28.198374636845408
6765345627537843968,292.67970140655723,-27.263977903251014,15.707933488595275,3.3951891252945083,-0.5562273039311283,20.88755,,292.67939583953597,-27.26392784279366,1.1147058851168756
6765857965600060288,290.74282322302463,-27.283122735679942,15.372241178584668,-115.63023501062115,-315.1938507506575,16.10446,,290.7532299441756,-27.254755289112385,108.77791059588766
6765678706547527808,291.73984071821496,-27.758804167823502,15.140045078674689,78.61305443324878,-186.6440660709384,17.773125,,291.73276554331596,-27.742006201877118,65.61781531598275
6769759578315255168,290.2960097493486,-25.131550371197,14.917234969645907,-70.71135296145916,-55.5543754021492,13.369616,-2.061204,290.3023737711152,-25.126550477410806,29.13548100681672
6766467369921600896,291.3696899176112,-25.975587263335818,14.780839749521224,-8.651593645787617,-12.360222796120961,20.403503,,291.37046856103933,-25.974474843284167,4.888269726062755
