SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,radial_velocity
6769308026926349056,289.1485570198848,-25.646366748342214,36.16627397315739,51.052259531042466,-312.1006103273405,12.448667,-18.308962
6766515091297060864,291.73533705380424,-25.417393969944687,24.591744283865943,-55.47537727912623,4.86145067518548,14.610334,14.923849
6759535739380845696,290.55047951917123,-28.656337212919382,23.526336351982966,6.908072637460299,-72.52791900245114,13.62056,46.90806
6765558967156008832,291.10420914163785,-28.27340440331299,22.46568730938615,-174.15087779848471,-150.46496066963135,14.915366,90.32137
6766101335626566272,292.3393808254595,-27.109373226762408,22.310625454115073,1.8740975520931542,-286.8619670326002,13.202398,-56.460342
6759846420135918336,289.4696669423743,-27.979019737773417,21.207094650409843,61.09798945315366,-75.54135823046788,10.504075,-24.920208
6765805910597118080,291.8624299811014,-26.871443777079925,21.170435044729548,54.379772676280616,-60.479044435234165,14.921145,
6759846420130715648,289.46877432733,-27.978075253578364,21.165492538515796,54.76857744817697,-85.00991046425433,15.623366,
6758763740478318080,290.97027746243754,-28.92562194422343,20.52086583816021,102.03794541418239,7.166075380991027,11.959132,4.289958
6765627235662304000,290.5846011399726,-27.9163035978918,20.40543173067604,-37.259526910526674,-0.9912459667306833,11.424439,11.004351
6765719873811443456,292.408260032877,-27.305295483380224,18.99891305810141,-10.338861025967919,-63.684326661843926,14.071337,-59.9751
6769161791878936704,290.3359193856772,-25.779479167530607,18.075615088195367,-199.29055032073956,-160.6718713278292,17.721634,
6763156018855811968,288.484745052701,-26.876660545475165,17.093001547102368,-13.309938849442743,-90.99751041619291,7.0089145,-20.956476
6768984323835699456,289.3742578810264,-26.765936548666264,17.014911676842093,-86.6724849090275,-87.0738789961573,16.41753,
6768985934441524864,289.26677056120707,-26.772876116665337,15.718109137843218,27.4458929629778,-44.69263223067489,12.25664,-48.163925
6759817386156701568,289.9455794757117,-28.008868306089454,15.718106320746227,81.77179085868602,-29.798436356737035,13.107814,-15.089718
6765345627537843968,292.67970140655723,-27.263977903251007,15.707933488595275,3.395189125294508,-0.5562273039311283,20.88755,
6765857965600060288,290.7428232230246,-27.28312273567994,15.372241178584668,-115.63023501062115,-315.1938507506575,16.10446,
6765678706547527808,291.739840718215,-27.7588041678235,15.14004507867469,78.61305443324878,-186.64406607093838,17.773125,
6769759578315255168,290.2960097493486,-25.131550371197,14.917234969645909,-70.71135296145916,-55.5543754021492,13.369616,-2.061204
6766467369921600896,291.36968991761114,-25.97558726333582,14.780839749521224,-8.651593645787617,-12.360222796120961,20.403503,
6762966937215690752,289.1234329712167,-27.118775024330173,14.724717666380387,16.96944535715195,-50.868876256702826,13.626068,
6768935597425078144,289.45204131864267,-26.88405890110022,14.420823524032642,36.92080876576809,-24.061058812081043,13.852566,36.963394
6769760579045190528,290.2649202089958,-25.104460439721958,14.39462952659896,-140.8905360311894,-164.72878361076118,14.042831,104.79378
6769021226194779136,289.6268693024404,-26.423397562251207,14.320676356837286,-15.278826234498851,-22.630062911951484,15.791447,
6764964062646950528,292.6271683557857,-27.415793102354066,14.298595617655353,62.59902873907811,-147.9014611655795,14.576976,-38.738094
6759526973346678656,290.91769053688125,-28.64059697644256,14.287206774353699,28.722451474928583,-16.68834547437101,12.50469,-5.136881
6765861019327924736,291.030841680837,-27.298370893576816,14.209569554703108,101.57534700700651,-231.4981594875614,17.053562,
6766476612690018048,291.60144341170707,-25.787617152804582,14.147776614091347,91.9356356065559,-54.087019348821286,12.571063,-40.29733
6769031087440215296,289.78750848328883,-26.2104177743001,14.145332041230327,53.51680507734326,60.633887093882485,14.512884,-5.0103636
6763192096576049280,288.7557543664026,-26.515196803738355,14.083693389330794,-27.836283531638188,-93.66615984157491,18.87941,
6769393926278758912,289.86926485143175,-25.139154868088127,14.029957489751622,61.80182218900499,-15.041199495707051,13.9861555,-23.380787
6769084345034571776,290.36806593540877,-26.05848066718744,13.481277829678456,-35.139529541333566,-8.997753432445197,14.289446,-7.534119
6765638063274882304,290.73821574922016,-27.628352808194702,13.368638327772016,-5.426096514143634,-0.38131284241051694,19.338001,
6759847279129458944,289.3772819621034,-27.95088093864403,13.346100279507361,38.060606898222105,-0.5976284483360432,13.668483,-22.78437
6763147841231053440,288.26215619083786,-27.032154380987976,13.291360772042362,-6.1910291726464095,-3.0351995713154363,19.73675,
6769489446350137728,291.30773156485463,-25.533189669994133,13.273764446509567,-5.269760541882137,-1.6052685829497633,20.419815,
6769151170428490368,290.11016240072445,-25.789852246684568,13.268297228954411,-26.57213174018874,-150.62189347064924,15.313639,-57.70304
6766130369605925248,292.5219595922698,-26.648078279504567,13.239660997764348,33.97443367094678,-116.73619417089881,15.119301,-14.227179
6769392070852051584,289.87791368271985,-25.228716356004963,13.038312476993152,47.205315133717804,-243.14410583691932,14.215755,23.009815
6766101228247207424,292.3923827055259,-27.095113694628186,12.836203884515564,35.86412080317193,-33.33410259944959,15.452955,-36.921627
6769029575611700736,289.8263127311225,-26.30397711366101,12.817690523550688,78.56591531663811,-145.0579780165967,13.798834,-33.655724
6759613220591134208,290.40010563093807,-28.225597328544414,12.7782967462513,-21.83068045270814,23.830904935503387,9.12016,
6765662080732001664,290.7963503801344,-27.569733583412887,12.721329635487058,19.01838042460537,-47.68958101222143,14.13938,-14.37687
6759549895593086720,290.7549049285491,-28.37831466445527,12.695798989800714,21.67969092027533,-13.143470575562027,14.437176,10.157298
6765984508218291712,291.11663798206035,-26.798023322486912,12.650097514791616,52.3802423905518,-105.99727419315181,10.942166,-8.122251
6759808864943369984,290.2842418903043,-27.98621340739154,12.594494678065924,5.753058441738988,10.016889847990072,13.238852,20.749447
6766442287311817088,292.20080975891227,-25.752300572445066,12.537102220934814,-5.764702921818188,-8.464658449311393,9.465892,-46.57399
6769497589607228032,290.9277464791348,-25.57893542821232,12.471361044205844,5.4359831459566985,-44.45931360324815,14.843254,-14.294253
6762973087606430464,289.17886127472826,-27.06758859584856,12.238040603203439,4.920349910433905,-28.059874586569755,20.360756,
